region,district,site_name,latitude,longitude
Lower Shabelle,Afgooye,Awgeedi,2.077301,45.217151
Lower Shabelle,Afgooye,Ayaanle,2.078344,45.217859
Lower Shabelle,Afgooye,Badqawe,2.077485,45.217162
Lower Shabelle,Afgooye,Beesaani,2.08656,45.201601
Lower Shabelle,Afgooye,Beylood,2.08656,45.201601
Lower Shabelle,Afgooye,Biyooley,2.078576,45.217515
Lower Shabelle,Afgooye,Buundo 3,2.1115636,45.1542478
Lower Shabelle,Afgooye,Caadii,2.08656,45.201601
Lower Shabelle,Afgooye,Ceeryaamo,2.08656,45.201601
Lower Shabelle,Afgooye,Dhag Wariiri,2.085258,45.201622
Lower Shabelle,Afgooye,Dheen,2.0910031,45.1773966
Lower Shabelle,Afgooye,Dhuumodle,2.08656,45.201601
Lower Shabelle,Afgooye,Doxa 2,2.08656,45.201601
Lower Shabelle,Afgooye,Eylo 1,2.153933,45.1194211
Lower Shabelle,Afgooye,Fariid,2.07724,45.217649
Lower Shabelle,Afgooye,Fulay Ley,2.077772,45.217341
Lower Shabelle,Afgooye,Golweyn Ceelisha,2.1422004,45.1180241
Lower Shabelle,Afgooye,Gosha Iyo Gindiga,2.134907,45.124462
Lower Shabelle,Afgooye,Intifaac,2.077257,45.216987
Lower Shabelle,Afgooye,Janaale (Afgoye),2.1524966,45.1191208
Lower Shabelle,Afgooye,Jeebeey,2.084654,45.201594
Lower Shabelle,Afgooye,Jiidane,2.08656,45.201601
Lower Shabelle,Afgooye,Kuusow,2.111546,45.1546286
Lower Shabelle,Afgooye,Qalbi Saliin,2.1002757,45.1646691
Lower Shabelle,Afgooye,Qodqodow,2.1146966,45.156363
Lower Shabelle,Afgooye,Qoraar,2.08656,45.201601
Lower Shabelle,Afgooye,Xafiid,2.078461,45.217158
Lower Juba,Afmadow,Abaq,0.5230426,42.0933431
Lower Juba,Afmadow,Airport,0.5232205,42.0939816
Lower Juba,Afmadow,Awaqbanboow,0.5221767,42.0809949
Lower Juba,Afmadow,Bari,0.5217936,42.0970416
Lower Juba,Afmadow,Bilisaa,0.525011,42.0901016
Lower Juba,Afmadow,Buale,0.5216826,42.0939159
Lower Juba,Afmadow,Bulada Dirisamaha,0.5306099,42.0865285
Lower Juba,Afmadow,Cameroon,0.5245433,42.0801947
Lower Juba,Afmadow,Danwadaag,0.3942636,41.0042598
Lower Juba,Afmadow,Garasgacanlow,0.510045,42.0598184
Lower Juba,Afmadow,Hagar,0.3968295,41.0114454
Lower Juba,Afmadow,Hawina,0.3893101,41.0131483
Lower Juba,Afmadow,Hiraan,0.5209413,42.0943621
Lower Juba,Afmadow,Hodan,0.4182698,40.9977643
Lower Juba,Afmadow,Kaxda Nabada,0.5208317,42.0798513
Lower Juba,Afmadow,Othogoye,0.5148424,42.0813818
Lower Juba,Afmadow,Sakow,0.52106,42.0918133
Lower Juba,Afmadow,Soya,0.5212899,42.0930393
Lower Juba,Afmadow,Yaaq,0.5246416,42.0872319
Gedo,Baardheere,Al Aamin,2.3581973,42.2693767
Gedo,Baardheere,Albaraka,2.3525195,42.3017714
Gedo,Baardheere,Baaleey,2.3259863,42.2948503
Gedo,Baardheere,Badbaado,2.3543265,42.2777009
Gedo,Baardheere,Bakal,2.3516783,42.2663783
Gedo,Baardheere,Bandar,2.3125926,42.2767047
Gedo,Baardheere,Barkulan,2.3442776,42.2816923
Gedo,Baardheere,Barwaaqo,2.3210245,42.2738565
Gedo,Baardheere,Bulo Geedi,2.319774,42.2770659
Gedo,Baardheere,Bulsho,2.34451,42.3041033
Gedo,Baardheere,Camp Biroole,2.3696983,42.278
Gedo,Baardheere,Daarusalam,2.3492014,42.2649393
Gedo,Baardheere,Danleey,2.3252671,42.2776979
Gedo,Baardheere,Danyar,2.3088589,42.282548
Gedo,Baardheere,Dulmidiid,2.3361899,42.2997368
Gedo,Baardheere,Fulayley,2.3251131,42.2907953
Gedo,Baardheere,Gadude,2.3470076,42.3004774
Gedo,Baardheere,Garasley,2.3282731,42.2931663
Gedo,Baardheere,Gargaar,2.3505446,42.2959025
Gedo,Baardheere,Guled,2.321598,42.2886657
Gedo,Baardheere,Guul wade,2.3453549,42.2664384
Gedo,Baardheere,Habaal Adey,2.3318979,42.2999799
Gedo,Baardheere,Hayan,2.3292266,42.2942612
Gedo,Baardheere,Hilaac,2.3461562,42.2968892
Gedo,Baardheere,Hogol,2.3330237,42.2936441
Gedo,Baardheere,Horseed,2.3380393,42.2713087
Gedo,Baardheere,Horyaal,2.3501896,42.2984758
Gedo,Baardheere,Iftin,2.3478392,42.3050806
Gedo,Baardheere,Ileys,2.3216914,42.2753004
Gedo,Baardheere,Jameca,2.3527553,42.3051706
Gedo,Baardheere,Jirih,2.359155,42.2760432
Gedo,Baardheere,Juba,2.3207923,42.2757893
Gedo,Baardheere,Juba Baraawa,2.3154789,42.274113
Gedo,Baardheere,Kaydsaney,2.323151,42.2837916
Gedo,Baardheere,Kulan,2.3275582,42.2978743
Gedo,Baardheere,Kulimye Centre,2.3393096,42.2896886
Gedo,Baardheere,Liban,2.324544,42.2899175
Gedo,Baardheere,Madina,2.3439666,42.2705544
Gedo,Baardheere,Muruqmaal,2.308043,42.2800613
Gedo,Baardheere,Najax,2.3438877,42.2665532
Gedo,Baardheere,Returnees,2.3162595,42.2801591
Gedo,Baardheere,Shabeel,2.3435116,42.3014377
Gedo,Baardheere,Tawakal,2.3561519,42.2733928
Gedo,Baardheere,Towfiq,2.3675985,42.2746604
Gedo,Baardheere,Tuwerey,2.3441117,42.3027283
Gedo,Baardheere,Waabari,2.3552875,42.2961683
Gedo,Baardheere,Wardher,2.3347242,42.2944861
Gedo,Baardheere,Warsan,2.3134789,42.2778411
Gedo,Baardheere,Yama Ruglay,2.3614464,42.2866779
Bay,Baidoa,11-Janaay-1,3.0927611,43.63488
Bay,Baidoa,11-Janaay-2,3.0918301,43.6230441
Bay,Baidoa,Aamanow,3.0847457,43.6231301
Bay,Baidoa,Aanoley,3.0882153,43.6248578
Bay,Baidoa,Aashow,3.1405315,43.6661642
Bay,Baidoa,Abag Neebsoy,3.08928,43.6233821
Bay,Baidoa,Abal-1,3.1430997,43.6603448
Bay,Baidoa,Abal-5,3.15419287,43.67623133
Bay,Baidoa,Abaq Dheere,3.1374262,43.66009639
Bay,Baidoa,Abduruk,3.0852515,43.6203027
Bay,Baidoa,Aboore,3.1143187,43.6319452
Bay,Baidoa,Aburow,3.2121243,43.1908217
Bay,Baidoa,Adaayimow,3.1376854,43.6349752
Bay,Baidoa,Adable Gunre,3.2063699,43.2043229
Bay,Baidoa,Adable Oomane,3.1023141,43.6615951
Bay,Baidoa,Adable Weyne,3.0807555,43.6207242
Bay,Baidoa,Adadle Cade,3.1025214,43.6620096
Bay,Baidoa,Adan Goley,3.1372821,43.636617
Bay,Baidoa,Adan Yare,3.0803522,43.6199133
Bay,Baidoa,Adc Kulan Yare,3.09495678,43.63945167
Bay,Baidoa,Adc-1,3.0729153,43.6182189
Bay,Baidoa,Adc-2,3.09448264,43.63764827
Bay,Baidoa,Adc-3,3.0890889,43.6372989
Bay,Baidoa,Adc-4,3.0959339,43.6397733
Bay,Baidoa,Adc-5,3.0938823,43.627422
Bay,Baidoa,Adii Garaar,3.1335983,43.6638807
Bay,Baidoa,Afmadow,3.0906634,43.6263622
Bay,Baidoa,Al Aamin,3.2094493,43.19192486
Bay,Baidoa,Al-Baraka,3.1140729,43.6346827
Bay,Baidoa,Al-Baraka 2,3.0925047,43.6287052
Bay,Baidoa,Alfatax,3.085612,43.6244621
Bay,Baidoa,Al-Furqan-2,3.116261,43.6342348
Bay,Baidoa,Al-Furqan-3,3.1170128,43.6285272
Bay,Baidoa,Ali Gaale,3.0880625,43.631935
Bay,Baidoa,All Xamdu,3.2070257,43.202344
Bay,Baidoa,Alla Aaamin Indhoolayaasha,3.0926658,43.6227495
Bay,Baidoa,Alla Magan,3.1340352,43.6576952
Bay,Baidoa,Alla Qadari,3.0890526,43.6224309
Bay,Baidoa,Alla Suge-1,3.1273642,43.6577711
Bay,Baidoa,Alla Tuug,3.1000015,43.6438108
Bay,Baidoa,Allah Umaqan,3.1381267,43.675005
Bay,Baidoa,Alle Qabe,3.1492077,43.667278
Bay,Baidoa,Amiin Alle,3.1440665,43.6369048
Bay,Baidoa,Araan,3.2137562,43.1879727
Bay,Baidoa,Arooswiini,3.0879413,43.6246259
Bay,Baidoa,Asha Ki Dhali,3.1025088,43.6592449
Bay,Baidoa,Asharow Jawari,3.1066249,43.6770534
Bay,Baidoa,Awa Derow,3.0913075,43.631597
Bay,Baidoa,Awal Barwaqo,3.13914,43.6676991
Bay,Baidoa,Awdinle,3.2208096,43.1893404
Bay,Baidoa,Awo Asharo-1,3.1016095,43.660665
Bay,Baidoa,Awoodimow,3.1412396,43.6683056
