Site_Code,Exists,District,District_Name
CCCM-SO2302-0001,yes,SO2302,Afgooye
CCCM-SO2302-0002,yes,SO2302,Afgooye
CCCM-SO2302-0004,yes,SO2302,Afgooye
CCCM-SO2302-0007,yes,SO2302,Afgooye
CCCM-SO2302-0073,yes,SO2302,Afgooye
CCCM-SO2302-0009,yes,SO2302,Afgooye
CCCM-SO2302-0058,yes,SO2302,Afgooye
CCCM-SO2302-0011,yes,SO2302,Afgooye
CCCM-SO2302-0012,yes,SO2302,Afgooye
CCCM-SO2302-0061,yes,SO2302,Afgooye
CCCM-SO2302-0013,yes,SO2302,Afgooye
CCCM-SO2302-0015,yes,SO2302,Afgooye
CCCM-SO2302-0078,yes,SO2302,Afgooye
CCCM-SO2302-0030,yes,SO2302,Afgooye
CCCM-SO2302-0022,yes,SO2302,Afgooye
CCCM-SO2302-0023,yes,SO2302,Afgooye
CCCM-SO2302-0032,yes,SO2302,Afgooye
CCCM-SO2302-0080,yes,SO2302,Afgooye
CCCM-SO2302-0027,yes,SO2302,Afgooye
CCCM-SO2302-0066,yes,SO2302,Afgooye
CCCM-SO2302-0067,yes,SO2302,Afgooye
CCCM-SO2302-0028,yes,SO2302,Afgooye
CCCM-SO2302-0038,yes,SO2302,Afgooye
CCCM-SO2302-0034,yes,SO2302,Afgooye
CCCM-SO2302-0043,yes,SO2302,Afgooye
CCCM-SO2302-0035,yes,SO2302,Afgooye
CCCM-SO2302-0039,yes,SO2302,Afgooye
CCCM-SO2802-0025,yes,SO2802,Afmadow
CCCM-SO2802-0026,yes,SO2802,Afmadow
CCCM-SO2802-0009,yes,SO2802,Afmadow
CCCM-SO2802-0027,yes,SO2802,Afmadow
CCCM-SO2802-0028,yes,SO2802,Afmadow
CCCM-SO2802-0029,yes,SO2802,Afmadow
CCCM-SO2802-0003,yes,SO2802,Afmadow
CCCM-SO2802-0004,yes,SO2802,Afmadow
CCCM-SO2802-0020,yes,SO2802,Afmadow
CCCM-SO2802-0046,yes,SO2802,Afmadow
CCCM-SO2802-0033,yes,SO2802,Afmadow
CCCM-SO2802-0034,yes,SO2802,Afmadow
CCCM-SO2802-0040,yes,SO2802,Afmadow
CCCM-SO2802-0035,yes,SO2802,Afmadow
CCCM-SO2802-0030,yes,SO2802,Afmadow
CCCM-SO2802-0043,yes,SO2802,Afmadow
CCCM-SO2802-0044,yes,SO2802,Afmadow
CCCM-SO2802-0031,yes,SO2802,Afmadow
CCCM-SO2802-0032,yes,SO2802,Afmadow
CCCM-SO2602-0004,yes,SO2602,Baardheere
CCCM-SO2602-0005,yes,SO2602,Baardheere
CCCM-SO2602-0113,yes,SO2602,Baardheere
CCCM-SO2602-0100,yes,SO2602,Baardheere
CCCM-SO2602-0101,yes,SO2602,Baardheere
CCCM-SO2602-0132,yes,SO2602,Baardheere
CCCM-SO2602-0027,yes,SO2602,Baardheere
CCCM-SO2602-0114,yes,SO2602,Baardheere
CCCM-SO2602-0006,yes,SO2602,Baardheere
CCCM-SO2602-0008,yes,SO2602,Baardheere
CCCM-SO2602-0134,yes,SO2602,Baardheere
CCCM-SO2602-0115,yes,SO2602,Baardheere
CCCM-SO2602-0103,yes,SO2602,Baardheere
CCCM-SO2602-0116,yes,SO2602,Baardheere
CCCM-SO2602-0117,yes,SO2602,Baardheere
CCCM-SO2602-0104,yes,SO2602,Baardheere
CCCM-SO2602-0013,yes,SO2602,Baardheere
CCCM-SO2602-0014,yes,SO2602,Baardheere
CCCM-SO2602-0118,yes,SO2602,Baardheere
CCCM-SO2602-0015,yes,SO2602,Baardheere
CCCM-SO2602-0135,yes,SO2602,Baardheere
CCCM-SO2602-0003,yes,SO2602,Baardheere
CCCM-SO2602-0119,yes,SO2602,Baardheere
CCCM-SO2602-0136,yes,SO2602,Baardheere
CCCM-SO2602-0017,yes,SO2602,Baardheere
CCCM-SO2602-0121,yes,SO2602,Baardheere
CCCM-SO2602-0024,yes,SO2602,Baardheere
CCCM-SO2602-0105,yes,SO2602,Baardheere
CCCM-SO2602-0123,yes,SO2602,Baardheere
CCCM-SO2602-0002,yes,SO2602,Baardheere
CCCM-SO2602-0124,yes,SO2602,Baardheere
CCCM-SO2602-0106,yes,SO2602,Baardheere
CCCM-SO2602-0125,yes,SO2602,Baardheere
CCCM-SO2602-0108,yes,SO2602,Baardheere
CCCM-SO2602-0019,yes,SO2602,Baardheere
CCCM-SO2602-0020,yes,SO2602,Baardheere
CCCM-SO2602-0035,yes,SO2602,Baardheere
CCCM-SO2602-0021,yes,SO2602,Baardheere
CCCM-SO2602-0110,yes,SO2602,Baardheere
CCCM-SO2602-0111,yes,SO2602,Baardheere
CCCM-SO2602-0137,yes,SO2602,Baardheere
CCCM-SO2602-0010,yes,SO2602,Baardheere
CCCM-SO2602-0127,yes,SO2602,Baardheere
CCCM-SO2602-0128,yes,SO2602,Baardheere
CCCM-SO2602-0022,yes,SO2602,Baardheere
CCCM-SO2602-0023,yes,SO2602,Baardheere
CCCM-SO2602-0129,yes,SO2602,Baardheere
CCCM-SO2602-0011,yes,SO2602,Baardheere
CCCM-SO2602-0130,yes,SO2602,Baardheere
CCCM-SO2401-0001,yes,SO2401,Baidoa
CCCM-SO2401-0002,yes,SO2401,Baidoa
CCCM-SO2401-0911,yes,SO2401,Baidoa
CCCM-SO2401-0813,yes,SO2401,Baidoa
CCCM-SO2401-0878,yes,SO2401,Baidoa
CCCM-SO2401-0814,yes,SO2401,Baidoa
CCCM-SO2401-0009,yes,SO2401,Baidoa
CCCM-SO2401-0010,yes,SO2401,Baidoa
CCCM-SO2401-0879,yes,SO2401,Baidoa
CCCM-SO2401-0599,yes,SO2401,Baidoa
CCCM-SO2401-0012,yes,SO2401,Baidoa
CCCM-SO2401-0695,yes,SO2401,Baidoa
CCCM-SO2401-0709,yes,SO2401,Baidoa
CCCM-SO2401-0696,yes,SO2401,Baidoa
CCCM-SO2401-1662,yes,SO2401,Baidoa
CCCM-SO2401-0912,yes,SO2401,Baidoa
CCCM-SO2401-0913,yes,SO2401,Baidoa
CCCM-SO2401-0815,yes,SO2401,Baidoa
CCCM-SO2401-0016,yes,SO2401,Baidoa
CCCM-SO2401-0017,yes,SO2401,Baidoa
CCCM-SO2401-0018,yes,SO2401,Baidoa
CCCM-SO2401-0019,yes,SO2401,Baidoa
CCCM-SO2401-0021,yes,SO2401,Baidoa
CCCM-SO2401-0022,yes,SO2401,Baidoa
CCCM-SO2401-0023,yes,SO2401,Baidoa
CCCM-SO2401-0024,yes,SO2401,Baidoa
CCCM-SO2401-0025,yes,SO2401,Baidoa
CCCM-SO2401-0028,yes,SO2401,Baidoa
CCCM-SO2401-0030,yes,SO2401,Baidoa
CCCM-SO2401-0031,yes,SO2401,Baidoa
CCCM-SO2401-0914,yes,SO2401,Baidoa
CCCM-SO2401-0033,yes,SO2401,Baidoa
CCCM-SO2401-0034,yes,SO2401,Baidoa
CCCM-SO2401-0035,yes,SO2401,Baidoa
CCCM-SO2401-0039,yes,SO2401,Baidoa
CCCM-SO2401-0816,yes,SO2401,Baidoa
CCCM-SO2401-0041,yes,SO2401,Baidoa
CCCM-SO2401-0817,yes,SO2401,Baidoa
CCCM-SO2401-0042,yes,SO2401,Baidoa
CCCM-SO2401-0044,yes,SO2401,Baidoa
CCCM-SO2401-0046,yes,SO2401,Baidoa
CCCM-SO2401-0048,yes,SO2401,Baidoa
CCCM-SO2401-0818,yes,SO2401,Baidoa
CCCM-SO2401-0697,yes,SO2401,Baidoa
CCCM-SO2401-0819,yes,SO2401,Baidoa
CCCM-SO2401-0053,yes,SO2401,Baidoa
CCCM-SO2401-0054,yes,SO2401,Baidoa
CCCM-SO2401-0820,yes,SO2401,Baidoa
CCCM-SO2401-0056,yes,SO2401,Baidoa
CCCM-SO2401-0772,yes,SO2401,Baidoa
CCCM-SO2401-0058,yes,SO2401,Baidoa
CCCM-SO2401-0060,yes,SO2401,Baidoa
CCCM-SO2401-0698,yes,SO2401,Baidoa
CCCM-SO2401-0794,yes,SO2401,Baidoa
CCCM-SO2401-0915,yes,SO2401,Baidoa
CCCM-SO2401-0065,yes,SO2401,Baidoa
CCCM-SO2401-0710,yes,SO2401,Baidoa
CCCM-SO2401-0067,yes,SO2401,Baidoa
CCCM-SO2401-0699,yes,SO2401,Baidoa
CCCM-SO2401-0822,yes,SO2401,Baidoa
CCCM-SO2401-0071,yes,SO2401,Baidoa
CCCM-SO2401-0711,yes,SO2401,Baidoa
CCCM-SO2401-0712,yes,SO2401,Baidoa
CCCM-SO2401-0700,yes,SO2401,Baidoa
CCCM-SO2401-0077,yes,SO2401,Baidoa
CCCM-SO2401-0078,yes,SO2401,Baidoa
CCCM-SO2401-0080,yes,SO2401,Baidoa
CCCM-SO2401-0627,yes,SO2401,Baidoa
CCCM-SO2401-0082,yes,SO2401,Baidoa
CCCM-SO2401-0916,yes,SO2401,Baidoa
CCCM-SO2401-0087,yes,SO2401,Baidoa
CCCM-SO2401-0088,yes,SO2401,Baidoa
CCCM-SO2401-0089,yes,SO2401,Baidoa
CCCM-SO2401-0092,yes,SO2401,Baidoa
CCCM-SO2401-0647,yes,SO2401,Baidoa
CCCM-SO2401-0094,yes,SO2401,Baidoa
CCCM-SO2401-0883,yes,SO2401,Baidoa
CCCM-SO2401-0796,yes,SO2401,Baidoa
CCCM-SO2401-0095,yes,SO2401,Baidoa
CCCM-SO2401-0096,yes,SO2401,Baidoa
CCCM-SO2401-0097,yes,SO2401,Baidoa
CCCM-SO2401-0823,yes,SO2401,Baidoa
CCCM-SO2401-0797,yes,SO2401,Baidoa
CCCM-SO2401-0098,yes,SO2401,Baidoa
CCCM-SO2401-0099,yes,SO2401,Baidoa
CCCM-SO2401-0715,yes,SO2401,Baidoa
CCCM-SO2401-0103,yes,SO2401,Baidoa
CCCM-SO2401-0884,yes,SO2401,Baidoa
CCCM-SO2401-0110,yes,SO2401,Baidoa
CCCM-SO2401-0111,yes,SO2401,Baidoa
CCCM-SO2401-0112,yes,SO2401,Baidoa
CCCM-SO2401-0114,yes,SO2401,Baidoa
CCCM-SO2401-0824,yes,SO2401,Baidoa
CCCM-SO2401-0917,yes,SO2401,Baidoa
CCCM-SO2401-0799,yes,SO2401,Baidoa
CCCM-SO2401-0716,yes,SO2401,Baidoa
CCCM-SO2401-0115,yes,SO2401,Baidoa
CCCM-SO2401-0116,yes,SO2401,Baidoa
CCCM-SO2401-0117,yes,SO2401,Baidoa
CCCM-SO2401-0825,yes,SO2401,Baidoa
CCCM-SO2401-0826,yes,SO2401,Baidoa
CCCM-SO2401-0118,yes,SO2401,Baidoa
CCCM-SO2401-0120,yes,SO2401,Baidoa
CCCM-SO2401-0717,yes,SO2401,Baidoa
CCCM-SO2401-0122,yes,SO2401,Baidoa
CCCM-SO2401-0779,yes,SO2401,Baidoa
CCCM-SO2401-0886,yes,SO2401,Baidoa
CCCM-SO2401-0126,yes,SO2401,Baidoa
CCCM-SO2401-0127,yes,SO2401,Baidoa
CCCM-SO2401-0129,yes,SO2401,Baidoa
CCCM-SO2401-0131,yes,SO2401,Baidoa
CCCM-SO2401-0828,yes,SO2401,Baidoa
CCCM-SO2401-0133,yes,SO2401,Baidoa
CCCM-SO2401-0919,yes,SO2401,Baidoa
CCCM-SO2401-0135,yes,SO2401,Baidoa
CCCM-SO2401-0136,yes,SO2401,Baidoa
CCCM-SO2401-0701,yes,SO2401,Baidoa
CCCM-SO2401-0138,yes,SO2401,Baidoa
CCCM-SO2401-0139,yes,SO2401,Baidoa
CCCM-SO2401-0702,yes,SO2401,Baidoa
CCCM-SO2401-0140,yes,SO2401,Baidoa
CCCM-SO2401-0141,yes,SO2401,Baidoa
CCCM-SO2401-0142,yes,SO2401,Baidoa
CCCM-SO2401-0143,yes,SO2401,Baidoa
CCCM-SO2401-0144,yes,SO2401,Baidoa
CCCM-SO2401-0146,yes,SO2401,Baidoa
CCCM-SO2401-0147,yes,SO2401,Baidoa
CCCM-SO2401-0148,yes,SO2401,Baidoa
CCCM-SO2401-0151,yes,SO2401,Baidoa
CCCM-SO2401-0152,yes,SO2401,Baidoa
CCCM-SO2401-0663,yes,SO2401,Baidoa
CCCM-SO2401-0153,yes,SO2401,Baidoa
CCCM-SO2401-0829,yes,SO2401,Baidoa
CCCM-SO2401-0765,yes,SO2401,Baidoa
CCCM-SO2401-0830,yes,SO2401,Baidoa
CCCM-SO2401-0720,yes,SO2401,Baidoa
CCCM-SO2401-0664,yes,SO2401,Baidoa
CCCM-SO2401-0831,yes,SO2401,Baidoa
CCCM-SO2401-0158,yes,SO2401,Baidoa
CCCM-SO2401-0648,yes,SO2401,Baidoa
CCCM-SO2401-0161,yes,SO2401,Baidoa
CCCM-SO2401-0887,yes,SO2401,Baidoa
CCCM-SO2401-0721,yes,SO2401,Baidoa
CCCM-SO2401-0801,yes,SO2401,Baidoa
CCCM-SO2401-0833,yes,SO2401,Baidoa
CCCM-SO2401-0167,yes,SO2401,Baidoa
CCCM-SO2401-0722,yes,SO2401,Baidoa
CCCM-SO2401-0168,yes,SO2401,Baidoa
CCCM-SO2401-0169,yes,SO2401,Baidoa
CCCM-SO2401-0171,yes,SO2401,Baidoa
CCCM-SO2401-0173,yes,SO2401,Baidoa
CCCM-SO2401-0177,yes,SO2401,Baidoa
CCCM-SO2401-0178,yes,SO2401,Baidoa
CCCM-SO2401-0179,yes,SO2401,Baidoa
CCCM-SO2401-0181,yes,SO2401,Baidoa
CCCM-SO2401-0667,yes,SO2401,Baidoa
CCCM-SO2401-0834,yes,SO2401,Baidoa
CCCM-SO2401-0835,yes,SO2401,Baidoa
CCCM-SO2401-0836,yes,SO2401,Baidoa
CCCM-SO2401-0723,yes,SO2401,Baidoa
CCCM-SO2401-0185,yes,SO2401,Baidoa
CCCM-SO2401-0186,yes,SO2401,Baidoa
CCCM-SO2401-0703,yes,SO2401,Baidoa
CCCM-SO2401-0188,yes,SO2401,Baidoa
CCCM-SO2401-0191,yes,SO2401,Baidoa
CCCM-SO2401-0192,yes,SO2401,Baidoa
CCCM-SO2401-0194,yes,SO2401,Baidoa
CCCM-SO2401-0196,yes,SO2401,Baidoa
CCCM-SO2401-0197,yes,SO2401,Baidoa
CCCM-SO2401-0198,yes,SO2401,Baidoa
CCCM-SO2401-0200,yes,SO2401,Baidoa
CCCM-SO2401-0669,yes,SO2401,Baidoa
