idp_code,district_name,IDP_Site
CCCM-2022(U)-SO220116-396,Dayniile,1
CCCM-2022(U)-SO220117-001,Khada,20 Jirow
CCCM-2022(U)-SO220116-401,Dayniile,Aabey
CCCM-SO220113-0001,Wadajir,Aamin Saabiriin Center
CCCM-2022(U)-SO220116-402,Dayniile,Aano Badan
CCCM-2022(U)-SO220116-403,Dayniile,Abeesade
CCCM-2022(U)-SO220116-267,Dayniile,Abiyow
CCCM-2022(U)-SO220116-404,Dayniile,Abrone
CCCM-2022(U)-SO220116-405,Dayniile,Adaado
CCCM-2022(U)-SO220116-268,Dayniile,Adadley
CCCM-2022(U)-SO220116-406,Dayniile,Adenyabale
CCCM-2022(U)-SO220117-003,Khada,Adimola
CCCM-2022(U)-SO220116-407,Dayniile,Adleef
CCCM-2022(U)-SO220116-269,Dayniile,Ado Kibir
CCCM-2022(U)-SO220117-004,Khada,Afbarwaqo
CCCM-2022(U)-SO220117-005,Khada,Afgoye
CCCM-2022(U)-SO220116-408,Dayniile,Afgoye
CCCM-2022(U)-SO220116-409,Dayniile,Aflax
CCCM-SO220105-0001,Hodan,Afrax / Kam Barwaaqo
CCCM-2022(U)-SO220116-270,Dayniile,Africa
CCCM-2022(U)-SO220116-410,Dayniile,Afyur
CCCM-2022(U)-SO220117-006,Khada,Agaaran
CCCM-2022(U)-SO220116-271,Dayniile,Ahaadi
CCCM-SO220106-0010,Wardhigley,Ahlu Sunna / Somali Weyne
CCCM-2022(U)-SO220116-411,Dayniile,Ahmed Gurey
CCCM-2022(U)-SO220116-412,Dayniile,Al- Amar
CCCM-2022(U)-SO220117-007,Khada,Al Bushara
CCCM-SO220104-0001,Hawl Wadaag,Al Cadaala
CCCM-SO220113-0002,Wadajir,Al Cadaala / Badbaada / Alcadala
CCCM-2022(U)-SO220116-413,Dayniile,Al Cadala
CCCM-SO220114-0002,Dharkenley,Al Faraj
CCCM-2022(U)-SO220116-414,Dayniile,Al Fuuto
CCCM-2022(U)-SO220116-415,Dayniile,Al Hidaya
CCCM-2022(U)-SO220116-416,Dayniile,Al Ixsan
CCCM-2022(U)-SO220116-417,Dayniile,Al Juriz
CCCM-2022(U)-SO220117-008,Khada,Al Kauthar
CCCM-2022(U)-SO220116-272,Dayniile,Al Kheerad
CCCM-2022(U)-SO220116-419,Dayniile,Al Nacim
CCCM-2022(U)-SO220117-009,Khada,Al Najum
CCCM-2022(U)-SO220117-010,Khada,Al Nasri
CCCM-SO220107-0001,Bondhere,Al Nasteex
CCCM-2022(U)-SO220117-011,Khada,Al Rahma
CCCM-2022(U)-SO220116-420,Dayniile,Al Rahma
CCCM-SO220111-0001,Yaaqshid,Al Rahma / Al-Rahma / Al Rahma
CCCM-SO220111-0002,Yaaqshid,Al Raxma
CCCM-2022(U)-SO220117-012,Khada,Al Sacad
CCCM-2022(U)-SO220117-013,Khada,Al Subxaan
CCCM-2022(U)-SO220116-421,Dayniile,Al Waasac
CCCM-SO220114-0004,Dharkenley,Ala Naciim
CCCM-SO220114-0005,Dharkenley,Ala Umaqan
CCCM-2022(U)-SO220116-422,Dayniile,Alaf-Suge
CCCM-2022(U)-SO220116-423,Dayniile,Al-Amar
CCCM-2022(U)-SO220116-424,Dayniile,Alanbuur
CCCM-2022(U)-SO220116-425,Dayniile,Alfaraj
CCCM-2022(U)-SO220116-426,Dayniile,Alff
CCCM-SO220104-0002,Hawl Wadaag,Al-Haq
CCCM-2022(U)-SO220116-427,Dayniile,Al-Hidaaya
CCCM-2022(U)-SO220116-428,Dayniile,Ali Dharway
CCCM-2022(U)-SO220116-429,Dayniile,Ali Doon
CCCM-2022(U)-SO220116-430,Dayniile,Aljuriz
CCCM-2022(U)-SO220116-273,Dayniile,Alkhaliif
CCCM-2022(U)-SO220117-015,Khada,Alkowsar
CCCM-2022(U)-SO220116-431,Dayniile,Alkowsar
CCCM-2022(U)-SO220116-432,Dayniile,Alla Amin
CCCM-2022(U)-SO220116-433,Dayniile,Alla Fuuto
CCCM-2022(U)-SO220116-434,Dayniile,Alla Suge
CCCM-2022(U)-SO220116-274,Dayniile,Alla Sugey
CCCM-SO220105-0003,Hodan,Alla Tuug
CCCM-2022(U)-SO220116-435,Dayniile,Allah Dhowr
