CCCM_IDP_Site_Code,Region,District,IDP_Site,Latitude,Longitude
CCCM-SO2302-0001,Lower Shabelle,Afgooye,Awgeedi,2.077301,45.217151
CCCM-SO2302-0002,Lower Shabelle,Afgooye,Ayaanle,2.3438877,42.2665532
CCCM-SO2302-0004,Lower Shabelle,Afgooye,Badqawe,2.077485,45.217162
CCCM-SO2302-0007,Lower Shabelle,Afgooye,Beesaani,2.08656,45.201601
CCCM-SO2302-0073,Lower Shabelle,Afgooye,Beylood,2.08656,45.201601
CCCM-SO2302-0009,Lower Shabelle,Afgooye,Biyooley,2.078576,45.217515
CCCM-SO2302-0058,Lower Shabelle,Afgooye,Buundo 3,2.1115636,45.1542478
CCCM-SO2302-0011,Lower Shabelle,Afgooye,Caadii,2.08656,45.201601
CCCM-SO2302-0012,Lower Shabelle,Afgooye,Ceeryaamo,2.08656,45.201601
CCCM-SO2302-0061,Lower Shabelle,Afgooye,Dhag Wariiri,2.085258,45.201622
CCCM-SO2302-0013,Lower Shabelle,Afgooye,Dheen,2.0910031,45.1773966
CCCM-SO2302-0015,Lower Shabelle,Afgooye,Dhuumodle,2.08656,45.201601
CCCM-SO2302-0078,Lower Shabelle,Afgooye,Doxa 2,2.08656,45.201601
CCCM-SO2302-0030,Lower Shabelle,Afgooye,Eylo 1,2.153933,45.1194211
CCCM-SO2302-0022,Lower Shabelle,Afgooye,Fariid,2.07724,45.217649
CCCM-SO2302-0023,Lower Shabelle,Afgooye,Fulay Ley,2.077772,45.217341
CCCM-SO2302-0032,Lower Shabelle,Afgooye,Golweyn Ceelisha,2.1422004,45.1180241
CCCM-SO2302-0080,Lower Shabelle,Afgooye,Gosha Iyo Gindiga,2.134907,45.124462
CCCM-SO2302-0027,Lower Shabelle,Afgooye,Intifaac,2.077257,45.216987
CCCM-SO2302-0066,Lower Shabelle,Afgooye,Janaale (Afgoye),2.1524966,45.1191208
CCCM-SO2302-0067,Lower Shabelle,Afgooye,Jeebeey,2.084654,45.201594
CCCM-SO2302-0028,Lower Shabelle,Afgooye,Jiidane,2.08656,45.201601
CCCM-SO2302-0038,Lower Shabelle,Afgooye,Kuusow,2.111546,45.1546286
CCCM-SO2302-0034,Lower Shabelle,Afgooye,Qalbi Saliin,2.1002757,45.1646691
CCCM-SO2302-0043,Lower Shabelle,Afgooye,Qodqodow,2.1146966,45.156363
CCCM-SO2302-0035,Lower Shabelle,Afgooye,Qoraar,2.08656,45.201601
CCCM-SO2302-0039,Lower Shabelle,Afgooye,Xafiid,2.078461,45.217158
CCCM-SO2802-0025,Lower Juba,Afmadow,Abaq,0.5230426,42.0933431
CCCM-SO2802-0026,Lower Juba,Afmadow,Airport,0.5232205,42.0939816
CCCM-SO2802-0009,Lower Juba,Afmadow,Awaqbanboow,0.5221767,42.0809949
CCCM-SO2802-0027,Lower Juba,Afmadow,Bari,0.5217936,42.0970416
CCCM-SO2802-0028,Lower Juba,Afmadow,Bilisaa,0.525011,42.0901016
CCCM-SO2802-0029,Lower Juba,Afmadow,Buale,0.5216826,42.0939159
CCCM-SO2802-0003,Lower Juba,Afmadow,Bulada Dirisamaha,0.5306099,42.0865285
CCCM-SO2802-0004,Lower Juba,Afmadow,Cameroon,0.5245433,42.0801947
CCCM-SO2802-0020,Lower Juba,Afmadow,Danwadaag,0.3942636,41.0042598
CCCM-SO2802-0046,Lower Juba,Afmadow,Garasgacanlow,0.510045,42.0598184
CCCM-SO2802-0033,Lower Juba,Afmadow,Hagar,0.3968295,41.0114454
CCCM-SO2802-0034,Lower Juba,Afmadow,Hawina,0.3893101,41.0131483
