"","CCCM IDP Site Code","District","Responsible_FO"
"1","CCCM-SO2001-0109","Belet Weyne","No_FO"
"2","CCCM-SO2603-0001","Belet Xaawo","No_FO"
"3","CCCM-SO2002-0001","Bulo Burto","No_FO"
"4","CCCM-SO2402-0006","Buur Hakaba","No_FO"
"5","CCCM-SO2604-0010","Ceel Waaq","No_FO"
"6","CCCM-SO2804-0001","Jamaame","No_FO"
"7","CCCM-2023-SO220116-0001","Mogadishu Dayniile","No_FO"
"8","CCCM-2023-SO220117-0809","Mogadishu Khada","No_FO"
"9","CCCM-SO2404-0017","Qansax Dheere","No_FO"
"10","CCCM-SO2307-0002","Wanla Weyn","No_FO"
"11",NA,NA,"No_FO"
